TheTime,C02
10/15/25 10:12:10,0.04690025
10/15/25 10:12:15,0.1223579
10/15/25 10:12:20,0.1223579
10/15/25 10:12:25,0.04690025
10/15/25 10:12:30,0.1223579
10/15/25 10:12:35,0.1223579
10/15/25 10:12:40,0.1600867
10/15/25 10:12:45,0.04690025
10/15/25 10:12:50,0.04690025
10/15/25 10:12:55,0.009171441
10/15/25 10:13:00,0.08462906
10/15/25 10:13:05,0.04690025
10/15/25 10:13:10,0.08462906
10/15/25 10:13:15,0.1223579
10/15/25 10:13:20,0.1223579
10/15/25 10:13:25,0.04690025
10/15/25 10:13:30,0.08462906
10/15/25 10:13:35,0.1600867
10/15/25 10:13:40,0.08462906
10/15/25 10:13:45,0.1600867
10/15/25 10:13:50,0.1223579
10/15/25 10:13:55,0.1223579
10/15/25 10:14:00,0.1223579
10/15/25 10:14:05,0.1223579
10/15/25 10:14:10,0.1223579
10/15/25 10:14:15,0.1223579
10/15/25 10:14:20,0.08462906
10/15/25 10:14:25,0.04690025
10/15/25 10:14:30,0.08462906
10/15/25 10:14:35,0.08462906
10/15/25 10:14:40,0.1600867
10/15/25 10:14:45,0.1223579
10/15/25 10:14:50,0.1223579
10/15/25 10:14:55,0.1600867
10/15/25 10:15:00,0.08462906
10/15/25 10:15:05,0.04690025
10/15/25 10:15:10,0.1978155
10/15/25 10:15:15,0.1223579
10/15/25 10:15:20,0.08462906
10/15/25 10:15:25,0.08462906
10/15/25 10:15:30,0.1223579
10/15/25 10:15:35,0.1223579
10/15/25 10:15:40,0.1223579
10/15/25 10:15:45,0.08462906
10/15/25 10:15:50,0.1223579
10/15/25 10:15:55,0.1223579
10/15/25 10:16:00,0.04690025
10/15/25 10:16:05,0.1223579
10/15/25 10:16:10,0.08462906
10/15/25 10:16:15,0.1223579
10/15/25 10:16:20,0.04690025
10/15/25 10:16:25,0.04690025
10/15/25 10:16:30,0.08462906
10/15/25 10:16:35,0.04690025
10/15/25 10:16:40,0.1223579
10/15/25 10:16:45,0.009171441
10/15/25 10:16:50,0.04690025
10/15/25 10:16:55,0.1223579
10/15/25 10:17:00,0.08462906
10/15/25 10:17:05,0.1600867
10/15/25 10:17:10,0.1223579
10/15/25 10:17:15,0.1223579
10/15/25 10:17:20,0.1223579
10/15/25 10:17:25,0.1223579
10/15/25 10:17:30,0.1223579
10/15/25 10:17:35,0.08462906
10/15/25 10:17:40,0.1223579
10/15/25 10:17:45,0.1600867
10/15/25 10:17:50,0.1600867
10/15/25 10:17:55,0.1600867
10/15/25 10:18:00,0.1978155
10/15/25 10:18:05,0.08462906
10/15/25 10:18:10,0.1978155
10/15/25 10:18:15,0.1978155
10/15/25 10:18:20,0.1978155
10/15/25 10:18:25,0.1978155
10/15/25 10:18:30,0.1223579
10/15/25 10:18:35,0.2355443
10/15/25 10:18:40,0.1600867
10/15/25 10:18:45,0.1978155
10/15/25 10:18:50,0.1978155
10/15/25 10:18:55,0.1600867
10/15/25 10:19:00,0.1978155
10/15/25 10:19:05,0.1978155
10/15/25 10:19:10,0.2732731
10/15/25 10:19:15,0.2355443
10/15/25 10:19:20,0.2732731
10/15/25 10:19:25,0.2355443
10/15/25 10:19:30,0.1978155
10/15/25 10:19:35,0.3487307
10/15/25 10:19:40,0.3864595
10/15/25 10:19:45,0.3110019
10/15/25 10:19:50,0.3864595
10/15/25 10:19:55,0.4241883
